file,workflow_name,triggers,jobs,secrets,num_jobs,num_secrets
.github_workflows_percy-visual-label.yml,Percy visual tests,[],['percy'],[],1,0
.github_workflows_pr-labels.yml,prlabels,[],['is-properly-labeled'],[],1,0
.github_workflows_pre-release-eth.yml,Prerelease for Ethereum,[],['push_to_registry'],['env'],1,1
.github_workflows_pre-release-shibarium.yml,Prerelease for Shibarium,[],['push_to_registry'],['env'],1,1
.github_workflows_pre-release.yml,Prerelease,[],['push_to_registry'],['env'],1,1
.github_workflows_predict-conflicts.yml,Check Potential Conflicts,[],['main'],[],1,0
.github_workflows_publish-docker-image-for-core.yml,POA Core Publish Docker image,[],['push_to_registry'],[],1,0
.github_workflows_publish-docker-image-for-filecoin.yml,Publish Docker image for specific chain branches,[],['push_to_registry'],[],1,0
.github_workflows_publish-docker-image-for-fuse.yml,Fuse Publish Docker image,[],['push_to_registry'],[],1,0
.github_workflows_publish-docker-image-for-l2-staging.yml,L2 staging Publish Docker image,[],['push_to_registry'],[],1,0
.github_workflows_publish-docker-image-for-lukso.yml,LUKSO Publish Docker image,[],['push_to_registry'],[],1,0
.github_workflows_publish-docker-image-for-stability.yml,Stability Publish Docker image,[],['push_to_registry'],['env'],1,1
.github_workflows_publish-docker-image-for-suave.yml,SUAVE Publish Docker image,[],['push_to_registry'],['env'],1,1
.github_workflows_publish-docker-image-for-zetachain.yml,Zetachain publish Docker image,[],['push_to_registry'],[],1,0
.github_workflows_publish-docker-image-for-zkevm.yml,Zkevm publish Docker image,[],['push_to_registry'],[],1,0
.github_workflows_publish.yml,Publish,[],"['testRules', 'buildRuleSet', 'buildDockerRelease']",['env'],3,1
.github_workflows_pypi-publish.yml,Upload Python Package,[],['deploy'],[],1,0
.github_workflows_pypi.yml,pypi,[],['package-and-deploy'],['env'],1,1
.github_workflows_refresh-csl-subtrees.yml,Refresh Citation Style Language Files,[],['publish'],[],1,0
.github_workflows_release-arbitrum.yml,Release for Arbitrum,[],['push_to_registry'],['env'],1,1
.github_workflows_release-fuse.yml,Release for Fuse,[],['push_to_registry'],['env'],1,1
.github_workflows_release-gnosis.yml,Release for Gnosis Chain,[],['push_to_registry'],['env'],1,1
.github_workflows_release-polygon-zkevm.yml,Release for Polygon zkEVM,[],['push_to_registry'],['env'],1,1
.github_workflows_release-redstone.yml,Release for Redstone,[],['push_to_registry'],['env'],1,1
.github_workflows_release-rootstock.yml,Release for Rootstock,[],['push_to_registry'],['env'],1,1
.github_workflows_release-weekly.yml,Release Weekly,[],['release'],[],1,0
.github_workflows_release-zetachain.yml,Release for Zetachain,[],['push_to_registry'],['env'],1,1
